"ID","Gene Symbol","Gene Title","ENTREZ_GENE_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"238968_at","","","",-0.43643088454231,7.39444679001062,-5.31859649950444,2.87226529496863e-07,0.0055489050314772,6.31027742440746
"206666_at","GZMK","granzyme K (granzyme 3; tryptase II)","3003",-0.406909967631248,9.42613077226951,-5.16556096081408,5.9375149787842e-07,0.0055489050314772,5.66488595880042
"226733_at","PFKFB2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2","5208",0.360717780694177,6.74888257813467,4.81866102158232,2.91412340646897e-06,0.00745250999383846,4.25409809143317
"209409_at","GRB10","growth factor receptor-bound protein 10","2887",0.347630776315338,7.78096787816419,4.65964287007294,5.88481436412876e-06,0.00960865696639987,3.63250887733421
"1562682_at","LOC101928784","uncharacterized LOC101928784","101928784",-0.369613087471019,6.78183639576103,-4.65599637182444,5.97923120303422e-06,0.00960865696639987,3.61844529194149
"205798_at","IL7R","interleukin 7 receptor","3575",-0.303216060983047,9.53012934239472,-4.65356646126939,6.04295691719869e-06,0.00960865696639987,3.6090785432448
"216748_at","PYHIN1","pyrin and HIN domain family, member 1","149628",-0.321755138832996,8.29710900431261,-4.45452466947646,1.42049335726914e-05,0.0174533436092465,2.85493167871253
"228285_at","TDRD9","tudor domain containing 9","122402",0.478986082486734,6.75317084376628,4.43905767585194,1.51630469137783e-05,0.0178205357011452,2.79742595373069
"237208_at","WDR61","WD repeat domain 61","80349",-0.393769655436434,5.2292206578391,-4.39263359792918,1.84261967687947e-05,0.0178987091029274,2.62578531880972
"218865_at","MARC1","mitochondrial amidoxime reducing component 1","64757",0.345394519783208,8.40868896912022,4.36891126642197,2.03440786960213e-05,0.0178987091029274,2.53863806289901
"206697_s_at","HP","haptoglobin","3240",0.468606312114749,7.66438983767506,4.06933497617173,6.86381245278099e-05,0.0327635123065726,1.47126693753262
"215921_at","NPIPA5 /// NPIPB3 /// NPIPB6 /// NPIPB8","nuclear pore complex interacting protein family, member A5 /// nuclear pore complex interacting protein family, member B3 /// nuclear pore complex interacting protein family, member B6 /// nuclear pore complex interacting protein family, member B8","23117 /// 728734 /// 728741 /// 100288332",-0.302238624898597,5.46421315781784,-4.06272471833549,7.04535549442897e-05,0.0327635123065726,1.44841886479113
"212531_at","LCN2","lipocalin 2","3934",0.696061614409086,8.07531474743186,4.05551741685989,7.24850942982518e-05,0.0327635123065726,1.42354226973681
"219024_at","PLEKHA1","pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 1","59338",-0.351184222694622,7.01169206577003,-4.03433297111275,7.87846657514417e-05,0.0327635123065726,1.35063493457252
"238940_at","KLF12","Kruppel-like factor 12","11278",-0.300087101180841,6.43141201702085,-4.0077318125455,8.74354793638796e-05,0.0342531658360149,1.2595359780028
"219717_at","DCAF16","DDB1 and CUL4 associated factor 16","54876",-0.337625686571753,6.84071044959071,-3.99956451940424,9.02681242795762e-05,0.0348576809628746,1.23166691056245
"205863_at","S100A12","S100 calcium binding protein A12","6283",0.308893492161236,10.7540904782161,3.97181393255091,0.000100559687655515,0.036821947517259,1.13732915410769
"234402_at","TCRVA15 /// TRAV5 /// TRAV5 /// YME1L1","Homo sapiens mRNA for T cell receptor alpha variable 5, partial cds, clone: SEB 96. /// T cell receptor alpha variable 5 ///  /// YME1-like 1 ATPase","10730",-0.305628298685967,6.23524878068587,-3.95555687126903,0.000107097446506634,0.036821947517259,1.08231883961207
"206177_s_at","ARG1","arginase 1","383",0.624586913769414,5.96581811989148,3.8836864813147,0.000141156218952613,0.0397009725624912,0.84139744144316
"225016_at","APCDD1","adenomatosis polyposis coli down-regulated 1","147495",0.315032385587043,5.67393686717516,3.84899086324662,0.000161063959369477,0.0406889708945451,0.726425506633618
"206237_s_at","NRG1","neuregulin 1","3084",0.380159994213752,6.65288895246911,3.84078107928227,0.000166149752666221,0.0408024481007032,0.699348163751213
"225496_s_at","SYTL2","synaptotagmin-like 2","54843",-0.349447662608844,6.25144127662041,-3.7770624243321,0.000211128187518962,0.0468677424503648,0.490861321635182
"208470_s_at","HP /// HPR","haptoglobin /// haptoglobin-related protein","3240 /// 3250",0.369943212911434,7.03749345140666,3.77082390851468,0.000216103769788518,0.0468677424503648,0.470608385766486
"204140_at","TPST1","tyrosylprotein sulfotransferase 1","8460",0.329110971038593,5.92133529909778,3.76137267426796,0.000223853541239674,0.0468677424503648,0.439979919593563
"212768_s_at","OLFM4","olfactomedin 4","10562",1.01155804795146,6.93254923323839,3.74342102318769,0.000239302794101241,0.0472972666516238,0.381984843583382
"217602_at","LOC101060363 /// PPIA","peptidyl-prolyl cis-trans isomerase A-like /// peptidylprolyl isomerase A (cyclophilin A)","5478 /// 101060363",-0.301130505547787,5.10251295289492,-3.74295766221373,0.000239714606609909,0.0472972666516238,0.380491032960853
